rank,asin,amazon_title,amazon_author,amazon_url,isbn10,isbn13,ol_key
1,1401971369,The Let Them Theory: A Life-Changing Tool That Millions of People Can't Stop Talking About,Mel Robbins,https://www.amazon.com/Let-Them-Theory-Life-Changing-Millions/dp/1401971369/ref=zg_bs_g_books_d_sccl_1/145-3662654-3290960?psc=1,1401971369,9781401971366,/works/OL39181496W
2,1538742578,The Housemaid,Freida McFadden,https://www.amazon.com/Housemaid-Freida-McFadden/dp/1538742578/ref=zg_bs_g_books_d_sccl_2/145-3662654-3290960?psc=1,1803144386,9783453471900,/works/OL27729743W
3,1668236516,Theo of Golden: A Novel,Allen Levi,https://www.amazon.com/Theo-Golden-Novel-Allen-Levi/dp/1668236516/ref=zg_bs_g_books_d_sccl_3/145-3662654-3290960?psc=1,0008819424,9781668236567,/works/OL36475397W
6,0593798430,The Correspondent: A Novel,Virginia Evans,https://www.amazon.com/Correspondent-Novel-Virginia-Evans/dp/0593798430/ref=zg_bs_g_books_d_sccl_6/145-3662654-3290960?psc=1,198379239X,9798526343268,/works/OL20600W
7,0349132615,The Housemaid's Secret,Freida McFadden,https://www.amazon.com/Housemaids-Secret-Freida-McFadden/dp/0349132615/ref=zg_bs_g_books_d_sccl_7/145-3662654-3290960?psc=1,1538742586,9781538742587,/works/OL34113490W
9,164152815X,The Bible in 52 Weeks: A Yearlong Bible Study for Women,Dr. Kimberly D. Moore,https://www.amazon.com/Bible-52-Weeks-Yearlong-Study/dp/164152815X/ref=zg_bs_g_books_d_sccl_9/145-3662654-3290960?psc=1,164152815X,9781641528153,/works/OL24335777W
10,0735211299,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,https://www.amazon.com/Atomic-Habits-Proven-Build-Break/dp/0735211299/ref=zg_bs_g_books_d_sccl_10/145-3662654-3290960?psc=1,9584277952,9781473537804,/works/OL17930368W
11,0385548982,The Widow: A Novel,John Grisham,https://www.amazon.com/Widow-Novel-John-Grisham/dp/0385548982/ref=zg_bs_g_books_d_sccl_11/145-3662654-3290960?psc=1,0385548982,9780385548984,/works/OL44328974W
13,0593296966,1929: Inside the Greatest Crash in Wall Street History--and How It Shattered a Nation,Andrew Ross Sorkin,https://www.amazon.com/1929-Inside-Greatest-History-Shattered/dp/0593296966/ref=zg_bs_g_books_d_sccl_13/145-3662654-3290960?psc=1,0593949242,9780241479414,/works/OL44551395W
15,0857197681,"The Psychology of Money: Timeless lessons on wealth, greed, and happiness",Morgan Housel,https://www.amazon.com/Psychology-Money-Timeless-lessons-happiness/dp/0857197681/ref=zg_bs_g_books_d_sccl_15/145-3662654-3290960?psc=1,,9798417563065,/works/OL27907882W
17,0385546890,The Secret of Secrets: A Novel (Robert Langdon),Dan Brown,https://www.amazon.com/Secret-Secrets-Novel-Robert-Langdon/dp/0385546890/ref=zg_bs_g_books_d_sccl_17/145-3662654-3290960?psc=1,8497874528,9788497874571,/works/OL14873315W
19,1250892317,Murdle: Volume 1,G T Karber,https://www.amazon.com/Murdle-Elementary-Impossible-Mysteries-Deduction/dp/1250892317/ref=zg_bs_g_books_d_sccl_19/145-3662654-3290960?psc=1,344628155X,9781250892317,/works/OL28864367W
22,B0CLKKDW2V,"Bible Study Workbook for Kids: Lessons, Activities, Quizzes, and Questions to Deepen Your Faith",Jenny Ingram,https://www.amazon.com/Bible-Study-Workbook-Kids-Activities/dp/B0CLKKDW2V/ref=zg_bs_g_books_d_sccl_22/145-3662654-3290960?psc=1,,9798886509328,/works/OL38032278W
27,1464221138,The Housemaid Is Watching,Freida McFadden,https://www.amazon.com/Housemaid-Watching-Freida-McFadden/dp/1464221138/ref=zg_bs_g_books_d_sccl_27/145-3662654-3290960?psc=1,1464223815,9781464223815,/works/OL37576476W
29,1546171460,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,https://www.amazon.com/Sunrise-Reaping-Hunger-Games-Novel/dp/1546171460/ref=zg_bs_g_books_d_sccl_29/145-3662654-3290960?psc=1,3751207163,9788427249974,/works/OL42360848W
